open,high,low,close,ema_rapida,ema_lenta,rsi,atr,Activo,Datetime
111798.08,111820.37,110477.09,111061.79,111748.74384615385,111776.80568627451,0.0,2507.4993333333337,BTC,2025-05-22 04:00:00
111061.85,111340.0,110279.77,110985.64,111690.04355029587,111745.77958093042,0.0,2314.5300888888887,BTC,2025-05-22 08:00:00
110999.99,111644.99,110558.0,111328.2,111662.20943104236,111729.40391109002,32.47157747469804,2150.8580770370377,BTC,2025-05-22 12:00:00
111332.32,112000.0,110955.81,111241.94,111629.88101326987,111710.28767928257,29.843653130638486,2003.3023334320997,BTC,2025-05-22 16:00:00
111241.94,111749.99,110776.26,111722.53,111637.00785840295,111710.7677702911,52.775065154873104,1866.0260223078212,BTC,2025-05-22 20:00:00
111722.54,111824.07,111013.27,111100.87,111595.76648467965,111686.85021067185,36.263286197370384,1725.3292193334455,BTC,2025-05-23 00:00:00
111100.88,111194.47,110400.0,110718.99,111528.32213970431,111648.89490829257,30.044700303117665,1601.2146567556529,BTC,2025-05-23 04:00:00
110718.99,111377.2,108862.29,109105.05,111341.91659049629,111549.13628443796,16.874360882893612,1723.0407025215663,BTC,2025-05-23 08:00:00
109105.05,110069.81,107327.94,108973.71,111159.7468527658,111448.13917524432,16.250081565943205,1858.8846088520236,BTC,2025-05-23 12:00:00
108973.71,109850.0,108025.0,108747.25,110974.17017178383,111342.22195268572,15.205524450211882,1854.366661005087,BTC,2025-05-23 16:00:00
108744.54,108755.59,106800.01,107329.61,110693.81938933893,111184.86462120785,10.60840434353102,1867.8617728710756,BTC,2025-05-23 20:00:00
107332.08,108391.58,106895.77,108390.96,110516.67635938978,111075.29973410166,28.127917198638457,1818.2548698215985,BTC,2025-05-24 00:00:00
108390.96,108594.49,107585.79,107619.15,110293.78971635981,110939.7644504114,24.38519173777037,1710.3142205120537,BTC,2025-05-24 04:00:00
107619.17,109517.79,107619.17,109224.02,110211.49973817829,110872.48035431682,41.74354711458127,1735.4243244437798,BTC,2025-05-24 08:00:00
109229.8,109298.99,108570.97,108965.47,110115.65129677996,110797.69563453969,40.14465621747014,1601.1037478512765,BTC,2025-05-24 12:00:00
108966.11,109247.8,108721.62,108988.71,110028.96350471997,110726.75502142048,40.36576266876908,1457.7805814711073,BTC,2025-05-24 16:00:00
